product_id,name,brand,category,price,rating,reviews,sales,date
1,갤럭시 S24 울트라,삼성,스마트폰,"1,450,000",4.8,2341,156,2024-01-15
2,아이폰 15 Pro,애플,스마트폰,"1,550,000",4.7,3892,289,2024-01-15
3,그램 17인치,LG,노트북,"1,890,000",4.5,892,67,2024-01-16
4,갤럭시 버즈2 프로,삼성,이어폰,"219,000",4.6,5623,892,2024-01-16
5,에어팟 프로 2세대,애플,이어폰,"359,000",4.8,7821,1235,2024-01-17
6,비스포크 냉장고,삼성,가전,"2,890,000",4.4,432,23,2024-01-17
7,트롬 세탁기,LG,가전,"1,290,000",4.5,623,45,2024-01-18
8,갤럭시 워치6,삼성,스마트워치,"399,000",4.3,2341,342,2024-01-18
9,애플워치 시리즈9,애플,스마트워치,"599,000",4.6,3421,523,2024-01-19
10,그램 14인치,LG,노트북,"1,290,000",4.4,1234,89,2024-01-19
11,맥북 프로 14인치,애플,노트북,"2,390,000",4.9,892,156,2024-01-20
12,갤럭시 탭 S9,삼성,태블릿,"1,099,000",4.5,1567,234,2024-01-20
13,아이패드 프로,애플,태블릿,"1,249,000",4.7,2341,389,2024-01-21
14,비스포크 에어컨,삼성,가전,"1,890,000",4.3,234,34,2024-01-21
15,퓨리케어 공기청정기,LG,가전,"689,000",4.6,3421,567,2024-01-22
16,갤럭시 S23,삼성,스마트폰,"999,000",4.5,4532,678,2024-01-22
17,아이폰 14,애플,스마트폰,"1,250,000",4.6,5623,892,2024-01-23
18,그램 16인치,LG,노트북,"1,590,000",4.4,783,123,2024-01-23
19,갤럭시 버즈2,삼성,이어폰,"149,000",4.3,6734,1342,2024-01-24
20,에어팟 3세대,애플,이어폰,"259,000",4.5,8923,1789,2024-01-24
21,디오스 김치냉장고,LG,가전,"1,390,000",4.7,567,78,2024-01-25
22,비스포크 식기세척기,삼성,가전,"890,000",4.4,892,134,2024-01-25
23,갤럭시 워치5,삼성,스마트워치,"299,000",4.2,3456,567,2024-01-26
24,애플워치 SE,애플,스마트워치,"359,000",4.4,4567,789,2024-01-26
25,그램 15인치,LG,노트북,"1,390,000",4.5,1892,267,2024-01-27
26,맥북 에어,애플,노트북,"1,390,000",4.8,2341,423,2024-01-27
27,갤럭시 탭 A8,삼성,태블릿,"399,000",4.2,2893,456,2024-01-28
28,아이패드 10세대,애플,태블릿,"679,000",4.5,3782,623,2024-01-28
29,트롬 건조기,LG,가전,"990,000",4.6,782,89,2024-01-29
30,비스포크 공기청정기,삼성,가전,"589,000",4.5,4523,734,2024-01-29
31,갤럭시 Z플립5,삼성,스마트폰,"1,399,000",4.4,1234,178,2024-01-30
32,갤럭시 Z폴드5,삼성,스마트폰,"2,097,700",4.6,892,134,2024-01-30
33,스타일러,LG,가전,"1,590,000",4.7,456,67,2024-01-31
34,큐커 전기밥솥,쿠쿠,가전,"289,000",4.3,5672,892,2024-01-31
35,발뮤다 토스터,발뮤다,가전,"329,000",4.5,2341,356,2024-02-01
